method,requested_r,effective_r,runtime_seconds,trainable_parameters,stage1_iterations,stage2_iterations,laps_psnr,laps_ssim,laps_gain,reference_gain,aligned_mae,aligned_rmse,aligned_nrmse,data_error_raw,data_error_supported,change_cosine,change_gain,mi_prior_ref,mi_prior_recon,mi_prior_delta
LAPS-NeRP (released),3,2.9767441860465116,85.72097008605488,1839618,630,411,29.9153995513916,0.8788864612579346,1.5592079558354444,1.0910305260416864,0.013419677282669797,0.02234409565701463,0.10875463385012127,0.27946019172668457,0.27946019172668457,0.9417647377975188,0.8692203533128374,1.200013934942738,1.2465377329013396,0.04652379795860173
LAPS-NeRP (+scale diagnostic),3,2.9767441860465116,85.72097008605488,1839618,630,411,30.69158935546875,0.8803536295890808,1.1897276690970178,0.8324926766845334,0.012342898053056156,0.020433998178938137,0.0994576833252503,0.139205202460289,0.139205202460289,0.9518106464630631,0.9120504292936297,1.200013934942738,1.2100005394666942,0.009986604523956277
LAPS-NeRP (released),5,4.923076923076923,103.72093181614764,1839618,911,347,28.307851791381836,0.8551785945892334,1.5468987197312138,1.0824173373443686,0.01575548486296811,0.026886865846575663,0.13086550001425964,0.2561672031879425,0.2561672031879425,0.9148117527594406,0.81312216570515,1.200013934942738,1.2379672125829537,0.03795327764021583
LAPS-NeRP (+scale diagnostic),5,4.923076923076923,103.72093181614764,1839618,911,347,28.640548706054688,0.8558467030525208,1.1928937228370355,0.8347080715358228,0.015199486965552511,0.025876489140299542,0.1259477288755895,0.1094491183757782,0.1094491183757782,0.9213597258089516,0.8450026935829356,1.200013934942738,1.2070914135374875,0.007077478594749609
LAPS-NeRP (released),6,5.818181818181818,84.42151476908475,1839618,643,381,27.9628849029541,0.8431496620178223,1.54208890379844,1.079051746508548,0.016237759476495656,0.027976188073486348,0.13616751991924866,0.25154393911361694,0.25154393911361694,0.9070583148481576,0.8048570428567704,1.200013934942738,1.2611101663593858,0.061096231416647884
LAPS-NeRP (+scale diagnostic),6,5.818181818181818,84.42151476908475,1839618,643,381,28.28024673461914,0.8439551591873169,1.193353591730378,0.835029857349406,0.0156694887506266,0.026972450844202158,0.13128206487429284,0.10285665094852448,0.10285665094852448,0.9140449393348149,0.8364819291807812,1.200013934942738,1.2248430146937743,0.02482907975103643
LAPS-NeRP (released),7,6.7368421052631575,109.7162459010724,1839618,975,358,27.749317169189453,0.8430056571960449,1.5417307754282676,1.078801151979039,0.0165497913898962,0.02867258990135618,0.13955709213398998,0.24765418469905853,0.24765418469905853,0.9018521005022081,0.7946228433439334,1.200013934942738,1.258016990244768,0.05800305530203009
LAPS-NeRP (+scale diagnostic),7,6.7368421052631575,109.7162459010724,1839618,975,358,28.027881622314453,0.843457043170929,1.1934769236623068,0.8351161568722291,0.016027260288042005,0.027767621700871714,0.13515237212202594,0.09463059157133102,0.09463059157133102,0.9082531029961645,0.8255882902221171,1.200013934942738,1.2246409672819918,0.024627032339253896
LAPS-NeRP (released),9,8.533333333333333,87.80330441705883,1839618,713,353,26.960819244384766,0.8252939581871033,1.5116797433359483,1.0577734287500284,0.017892610250935456,0.031397271245624365,0.15281883816760564,0.2288207709789276,0.2288207709789276,0.8826167321410293,0.7691935100942774,1.200013934942738,1.2605658946141145,0.06055195967137661
LAPS-NeRP (+scale diagnostic),9,8.533333333333333,87.80330441705883,1839618,713,353,27.17250633239746,0.8255656957626343,1.1962148226776772,0.8370319573860787,0.01744092189806601,0.030641325510089086,0.14913944997751388,0.08564846217632294,0.08564846217632294,0.8889325564453608,0.7971838422180008,1.200013934942738,1.2306523597679186,0.030638424825180754
LAPS-NeRP (released),11,10.666666666666666,78.41758816805668,1839618,548,403,25.32410430908203,0.8000183701515198,1.4958891891487787,1.0467242440810813,0.020354962467724617,0.037907709021308515,0.184506863826243,0.22075673937797546,0.22075673937797546,0.8198629517615322,0.7082295579025403,1.200013934942738,1.2143574939393766,0.01434355899663875
LAPS-NeRP (+scale diagnostic),11,10.666666666666666,78.41758816805668,1839618,548,403,25.458192825317383,0.8006062507629395,1.1938073731594538,0.8353473835584149,0.019943090077693838,0.0373270094724119,0.18168044525971863,0.078447125852108,0.078447125852108,0.8273369247696932,0.7380602467005529,1.200013934942738,1.1830127647929858,-0.01700117014975211
LAPS-NeRP (released),13,12.8,76.73546403017826,1839618,535,396,24.54427146911621,0.7759778499603271,1.4686702809379695,1.0276782536906544,0.021867867324444182,0.04146859595941564,0.2018386440459515,0.20455166697502136,0.20455166697502136,0.7796178548759516,0.6560955378887436,1.200013934942738,1.2271843063192045,0.027170371376466607
LAPS-NeRP (+scale diagnostic),13,12.8,76.73546403017826,1839618,535,396,24.652620315551758,0.7767226696014404,1.1906915413038381,0.8331671306577242,0.02151930634733499,0.040954511027628836,0.1993364564710971,0.07399801164865494,0.07399801164865494,0.787503997825408,0.682014204036239,1.200013934942738,1.20324793747129,0.0032340025285522156
